,id,appStore,appName,version,updateTime,author,downloadUrl,icon,introduction,inList,platform,insertTime,keyword
0,1915,安智市场,广发证券开户,2.1.33,2020-07-08 00:00:00,广发证券股份有限公司,http://www.anzhi.com/dl_app.php?s=3228057&n=5,http://www.anzhi.com//icon.php?u=ZGF0YTR8aWNvbnwyMDE4MTF8MTN8b2QxdFNEMWpIUWFicDkxMVhRRTcwU1BvaUpiWk1KY0FoUXF5K092bG9YRjg5VjkzSDR5SzhEcz0=,广发证券开户是广发证券官方自主研发的股票开户软件，全程手机自助开户，只需3分钟、操作简单、信息安全，支持24小时开户服务，开户过程中不收取任何费用，让开户比想象中更简单！,否,安卓,2020-07-22 00:00:00,国信证券开户
1,1916,安智市场,广发证券易淘金,8.7.0.3,2020-06-10 00:00:00,广发证券股份有限公司,http://www.anzhi.com/dl_app.php?s=3222292&n=5,http://www.anzhi.com//icon.php?u=ZGF0YTN8aWNvbnwyMDE1MDR8MDh8b2Qxc0MzQnJGZ2FmclpweFhSRVdpbk8xNDlhZmI5VTY3UTJ1c2JPNnNBPT0=,广发证券易淘金，是广发证券专为广大股民打造的一款集股票开户、股票交易、股市行情、基金理财为一体的股票/证券/炒股/理财/投资/财经/金融软件，是深受广大股民欢迎的股票、炒股、理财平台。,否,安卓,2020-07-22 00:00:00,国信证券开户
2,1917,安智市场,平安证券,7.4.1.0,2020-07-10 00:00:00,平安证券,http://www.anzhi.com/dl_app.php?s=3228710&n=5,http://www.anzhi.com//icon.php?u=ZGF0YTV8aWNvbnwyMDE5MDN8MjB8b2Qxc0MzQmtCVWFZc29aNkhSSWcwQ1RwcGN2ZFBwOFVoUTYxOWVYa3AzRjg5VjkzSDR5SzhEcz0=,平安证券有限责任公司是中国平安（保险）集团股份有限公司旗下重要成员，前身为1991年8月创立的平安保险证券业务部，目前拥有平安财智投资管理有限公司，平安期货有限公司、中国平安证券（香港）有限公司，平安磐海资本有限责任公司共四家子公司。,否,安卓,2020-07-22 00:00:00,国信证券开户
3,1918,安智市场,同花顺股票开户,V7.32.01,2020-06-04 00:00:00,核新同花顺,http://www.anzhi.com/dl_app.php?s=3220781&n=5,http://www.anzhi.com//icon.php?u=ZGF0YTN8aWNvbnwyMDE2MTJ8MzB8b2Qxc0MzQmtGVkNWcjkxa1h3UTlrQ0h0dm8zWUFORmQ2d3E1OXUzdHpYWitoQmdyVnQ0PQ==,同花顺股票开户是国内领先的互联网开户平台，提供30多家优质券商。我们支持24小时随时随地开户，开户过程中不收取任何费用，让开户比想象中更简单！,否,安卓,2020-07-22 00:00:00,国信证券开户
4,1919,安智市场,兴业证券优理宝,5.7.5,2020-06-25 00:00:00,兴业证券股份有限公司,http://www.anzhi.com/dl_app.php?s=3225707&n=5,http://www.anzhi.com//icon.php?u=ZGF0YTJ8aWNvbnwyMDE2MDh8MjR8b2Qxc0MzQnBIa2ZTdVlwdVFrczUzeTNwaU5LY2J0eFI0dyt3bnVydnZERWl6VW89,兴业证券优理宝，懂投资，更懂你！,否,安卓,2020-07-22 00:00:00,国信证券开户
5,1920,安智市场,平安自助开户,5.1.6,2020-04-22 00:00:00,平安证券,http://www.anzhi.com/dl_app.php?s=3211131&n=5,http://www.anzhi.com//icon.php?u=ZGF0YTN8aWNvbnwyMDE1MTB8MTZ8b2Qxc0MzQjRHRUdTcXBwaVZrc2swU2psdTRDRFBvWUd0VXJ1dFlLdDh4NTRuRnR4QXNuVXAwWS83cmhhcHc4Zw==,平安证券有限责任公司是中国平安（保险）集团股份有限公司旗下重要成员，前身为1991年8月创立的平安保险证券业务部，目前拥有平安财智投资管理有限公司，平安期货有限公司、中国平安证券（香港）有限公司，平安磐海资本有限责任公司共四家子公司。,否,安卓,2020-07-22 00:00:00,国信证券开户
6,1921,安智市场,安信手机证券,3.0.0,2018-08-22 00:00:00,essence,http://www.anzhi.com/dl_app.php?s=3023653&n=5,http://www.anzhi.com//icon.php?u=ZGF0YTR8aWNvbnwyMDE4MDd8MjR8b2QxdFNEMWpIUWFac29CeFhRWXNrRG40dUliR0FOeGM3UTYzOCszdHpYWitoQmdyVnQ0PQ==,安信手机证券，一款专为股票投资者打造的智能炒股软件。我们专注于提供极速的沪深港股市行情、安全的股票交易平台、稳健的基金理财产品，以及丰富的投资资讯等内容。,否,安卓,2020-07-22 00:00:00,国信证券开户
7,1922,安智市场,期货开户通,1.0.2.0,2019-07-12 00:00:00,国元期货有限公司上海营业部,http://www.anzhi.com/dl_app.php?s=3144663&n=5,http://www.anzhi.com//icon.php?u=ZGF0YTV8aWNvbnwyMDE5MDN8MDF8b2Qxc0MzQm5IRkNkcUlFNlNoQW8wQ3o1bzVEZk9wWTY0Z2k0K2VudG9uRVRuVnByUVpLRHRRPT0=,国元期货是经中国证监会批准设立的专业期货公司，注册资本6.09亿元，注册地北京。公司主要从事国内商品期货经纪、金融期货经纪、期货投资咨询、资产管理业务，是上海期货交易所、大连商品交易所、郑州商品交易所全权会员，中国金融期货交易所的交易结算会员，上海国际能源交易中心会员，可以代理交易并为客户结算国内目前所有上市的期货品种。国元期货APP是一款集成期货资讯、行情、交易、开户、客服为一体的移动终端智能应用系统，一款实用的金融理财软件，为您提供一个全面的理财！,否,安卓,2020-07-22 00:00:00,国信证券开户
8,1923,安智市场,国金证券佣金宝,5.05.001,2020-04-03 00:00:00,国金证券,http://www.anzhi.com/dl_app.php?s=3207312&n=5,http://www.anzhi.com//icon.php?u=ZGF0YTV8aWNvbnwyMDIwMDR8MDN8b2QxdFNEMWpIUWFicTRsbEhSd2ozSGpUNGRPVWFkTlI2Zy9mOXUvejRpOHJpQT09,佣金宝是国金证券于2014年推出的1+1+1证券服务产品，为投资者提供7x24小时证券账户开户服务，成功开户后享受证券交易普惠佣金率、闲置资金便捷理财及高品质咨询服务。佣金宝APP自上线以来，品质服务不断升级，从“全能证券服务终端”到“比你更懂你的炒股神器”，从“唯你·是从”的服务理念到“呈·人之美”的服务创新，逐步发展成为“全能”、“智能”、 “高效”、“贴心”的高品质证券服务终端，深受投资者好评。,否,安卓,2020-07-22 00:00:00,国信证券开户
9,1924,安智市场,东方证券期货,2.2.4,2020-07-13 00:00:00,东证期货,http://www.anzhi.com/dl_app.php?s=3229305&n=5,http://www.anzhi.com//icon.php?u=ZGF0YTV8aWNvbnwyMDIwMDN8MjN8b2Qxc0MzQm9DbG1VNzV4Nlh3d24yM3U5aU5HZWJkMVc3USt3bnVydnZERWl6VW89,东方证券期货APP是集工业品、农产品、股指期货、期权、黄金、白银、原油、贵金属等品种的期货开户、期货交易、期货行情、期货资讯、业务办理以及一对一客服等功能于一体的一站式投资服务平台，让每一位投资者都能享受安全、便捷、快速的期货投资服务。,否,安卓,2020-07-22 00:00:00,国信证券开户
